[2025-11-09T06:20:26.445Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762669226444 resume=false
[2025-11-09T06:20:27.583Z] JOB_START MSFT
[2025-11-09T06:28:54.249Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:55.750Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:57.250Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:58.750Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:00.249Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:01.749Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:03.265Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:04.767Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:06.282Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:07.797Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:09.299Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:10.799Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:12.299Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:13.816Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:15.316Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:16.816Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:18.317Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:19.816Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:21.333Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:22.833Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:24.349Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:25.849Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:27.342Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:28.858Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:30.359Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:29:31.875Z] USAGE cpu=0% rssMb=130.4
